Measure,AsatDt,Total,ElectPc,DieselPc,MotorcyclePc,LuxuryPc,HoldenPc,FordPc,ToyotaPc
Stock,2023-06-30,5568509,0.0061693354540685846,0.26556839541787575,0.037147645806085615,0.11448522396210548,0.0906680764994723,0.09217332682770199,0.1771944698302544
Stock,2023-09-30,5631054,0.007079314103540829,0.26593191967258706,0.03962366548074304,0.11569343856407699,0.08830815687436136,0.09120832440960432,0.1766021068169476
Stock,2023-12-31,5638360,0.008025205910938641,0.26853233919082853,0.033887158677345895,0.11761576061124157,0.08676778353989457,0.09118307451102803,0.17791716030902602
Stock,2024-03-31,5715001,0.009080838306065039,0.2682428227046679,0.03939806834679469,0.1180918428535708,0.08409639823335115,0.08977951184960423,0.1769756470733776
Stock,2024-06-30,5762446,0.010231939700606305,0.26937380411026846,0.039149000268288846,0.11932779934076605,0.082024022437694,0.08928170433180632,0.17733354898249806
Stock,2024-09-30,5788848,0.011157833130184105,0.2701100460747976,0.038906013769924516,0.12023203925893373,0.08010160225315986,0.0887297438108584,0.17773657211244792
Stock,2024-12-31,5811692,0.0122300011769378,0.2707858571995901,0.038879383146938964,0.12136861347779614,0.07812784985852657,0.08814696305310055,0.17806759201967345
Stock,2025-03-31,5836006,0.013149917940454482,0.2711025314230314,0.03876075521512486,0.12220806489917933,0.07621290999358123,0.08748191828452541,0.17821948777982752
Stock,2025-06-30,5873078,0.01458775109065468,0.2718732834809958,0.03847352274224861,0.12334826814832019,0.07424965239692032,0.08697279348239544,0.17837903736337232
Flow,2023-09-30,62577,0.0881154417757323,0.2982405676206913,0.2600156607060102,0.22316506064528502,-0.1217380187608866,0.005289483356504786,0.12379947904182048
Flow,2023-12-31,46286,0.1195393855593484,0.4330467095882124,0.03169424880093333,0.2524521453571274,-0.17370263146523787,0.011320917772112518,0.18806982672946462
Flow,2024-03-31,76652,0.08676877315660388,0.2469733340291186,0.44480248395345195,0.15309450503574598,-0.11241715806502113,-0.01347649115482962,0.10769451547252518
Flow,2024-06-30,47457,0.14887161008913333,0.405525001580378,0.009145120846239753,0.26815854352361085,-0.16756221421497355,0.02931074446340898,0.22038898371157048
Flow,2024-09-30,26415,0.21321219004353587,0.43062653795192124,-0.013969335604770016,0.31743327654741627,-0.3393147832670831,-0.03172439901571077,0.26556880560287716
Flow,2024-12-31,22863,0.2838647596553383,0.44193675370686264,0.03227922844771027,0.4090451821720684,-0.4216856930411582,-0.059484757031010804,0.26173293093644756
Flow,2025-03-31,24335,0.23299773988083008,0.34678446681734126,0.01060201356071502,0.3225806451612903,-0.38117937127594,-0.07141976576946785,0.21434148346003698
Flow,2025-06-30,37092,0.24086056292461985,0.39304971422409146,-0.006659117869082282,0.3026798231424566,-0.23468672490024803,0.006820877817319098,0.20338617491642402
